Dates;Domestic supply quantity
Dates;Import Quantity
Grapes and products (excl wine);Food supply quantity (tonnes)
Grapes and products (excl wine);Domestic supply quantity
Grapes and products (excl wine);Import Quantity
Fruits, Other;Waste
Fruits, Other;Food supply quantity (tonnes)
Fruits, Other;Domestic supply quantity
Fruits, Other;Production
Fruits, Other;Import Quantity
Fruits, Other;Export Quantity
Coffee and products;Food supply quantity (tonnes)
Coffee and products;Domestic supply quantity
Coffee and products;Import Quantity
Coffee and products;Export Quantity
Cocoa Beans and products;Food supply quantity (tonnes)
Cocoa Beans and products;Domestic supply quantity
Cocoa Beans and products;Import Quantity
Cocoa Beans and products;Export Quantity
Tea (including mate);Food supply quantity (tonnes)
Tea (including mate);Domestic supply quantity
Tea (including mate);Import Quantity
Tea (including mate);Export Quantity
Pepper;Food supply quantity (tonnes)
Pepper;Domestic supply quantity
Pepper;Import Quantity
Pimento;Food supply quantity (tonnes)
Pimento;Domestic supply quantity
Pimento;Import Quantity
Cloves;Domestic supply quantity
Cloves;Import Quantity
Spices, Other;Food supply quantity (tonnes)
Spices, Other;Domestic supply quantity
Spices, Other;Import Quantity
Spices, Other;Export Quantity
Wine;Food supply quantity (tonnes)
Wine;Domestic supply quantity
Wine;Import Quantity
Wine;Export Quantity
Beer;Food supply quantity (tonnes)
Beer;Domestic supply quantity
Beer;Production
Beer;Import Quantity
Beer;Export Quantity
Beverages, Fermented;Food supply quantity (tonnes)
Beverages, Fermented;Domestic supply quantity
Beverages, Fermented;Import Quantity
Beverages, Alcoholic;Food supply quantity (tonnes)
Beverages, Alcoholic;Domestic supply quantity
Beverages, Alcoholic;Import Quantity
Beverages, Alcoholic;Export Quantity
Alcohol, Non-Food;Other uses
Alcohol, Non-Food;Domestic supply quantity
Alcohol, Non-Food;Import Quantity
Cotton lint;Other uses
Cotton lint;Domestic supply quantity
Cotton lint;Import Quantity
Cotton lint;Export Quantity
Jute;Other uses
Jute;Domestic supply quantity
Jute;Import Quantity
Soft-Fibres, Other;Other uses
Soft-Fibres, Other;Domestic supply quantity
Soft-Fibres, Other;Import Quantity
Hard Fibres, Other;Other uses
Hard Fibres, Other;Domestic supply quantity
Hard Fibres, Other;Import Quantity
Tobacco;Other uses
Tobacco;Domestic supply quantity
Tobacco;Import Quantity
Tobacco;Export Quantity
Rubber;Other uses
Rubber;Domestic supply quantity
Rubber;Import Quantity
Infant food;Food supply quantity (tonnes)
Infant food;Domestic supply quantity
Infant food;Import Quantity
Bovine Meat;Food supply quantity (tonnes)
Bovine Meat;Domestic supply quantity
Bovine Meat;Production
Bovine Meat;Import Quantity
Bovine Meat;Export Quantity
Mutton & Goat Meat;Food supply quantity (tonnes)
Mutton & Goat Meat;Domestic supply quantity
Mutton & Goat Meat;Production
Mutton & Goat Meat;Import Quantity
Pigmeat;Food supply quantity (tonnes)
Pigmeat;Domestic supply quantity
Pigmeat;Production
Pigmeat;Import Quantity
Pigmeat;Export Quantity
Poultry Meat;Food supply quantity (tonnes)
Poultry Meat;Domestic supply quantity
Poultry Meat;Production
Poultry Meat;Import Quantity
Poultry Meat;Export Quantity
Meat, Other;Food supply quantity (tonnes)
Meat, Other;Domestic supply quantity
Meat, Other;Import Quantity
Meat, Other;Export Quantity
Offals, Edible;Food supply quantity (tonnes)
Offals, Edible;Domestic supply quantity
Offals, Edible;Production
Offals, Edible;Import Quantity
Fats, Animals, Raw;Food supply quantity (tonnes)
Fats, Animals, Raw;Other uses
Fats, Animals, Raw;Domestic supply quantity
Fats, Animals, Raw;Production
Fats, Animals, Raw;Import Quantity
Milk, Whole;Waste
Milk, Whole;Food supply quantity (tonnes)
Milk, Whole;Domestic supply quantity
Milk, Whole;Production
Milk, Whole;Import Quantity
Milk, Whole;Export Quantity
Milk, Skimmed;Food supply quantity (tonnes)
Milk, Skimmed;Domestic supply quantity
Milk, Skimmed;Import Quantity
Milk, Skimmed;Export Quantity
Butter, Ghee;Food supply quantity (tonnes)
Butter, Ghee;Domestic supply quantity
Butter, Ghee;Import Quantity
Butter, Ghee;Export Quantity
Cheese;Food supply quantity (tonnes)
Cheese;Domestic supply quantity
Cheese;Import Quantity
Cheese;Export Quantity
Whey;Domestic supply quantity
Whey;Import Quantity
Cream;Food supply quantity (tonnes)
Cream;Domestic supply quantity
Cream;Import Quantity
Eggs;Waste
Eggs;Food supply quantity (tonnes)
Eggs;Domestic supply quantity
Eggs;Production
Eggs;Seed
Eggs;Import Quantity
Eggs;Export Quantity
Honey;Food supply quantity (tonnes)
Honey;Domestic supply quantity
Honey;Import Quantity
Hides and skins;Other uses
Hides and skins;Domestic supply quantity
Hides and skins;Production
Hides and skins;Import Quantity
Hides and skins;Export Quantity
Meat Meal;Domestic supply quantity
Meat Meal;Import Quantity
Freshwater Fish;Food supply quantity (tonnes)
Freshwater Fish;Other uses
Freshwater Fish;Domestic supply quantity
Freshwater Fish;Production
Freshwater Fish;Import Quantity
Freshwater Fish;Export Quantity
Demersal Fish;Food supply quantity (tonnes)
Demersal Fish;Other uses
Demersal Fish;Domestic supply quantity
Demersal Fish;Production
Demersal Fish;Import Quantity
Demersal Fish;Export Quantity
Pelagic Fish;Food supply quantity (tonnes)
Pelagic Fish;Other uses
Pelagic Fish;Domestic supply quantity
Pelagic Fish;Production
Pelagic Fish;Feed
Pelagic Fish;Import Quantity
Pelagic Fish;Export Quantity
Marine Fish, Other;Food supply quantity (tonnes)
Marine Fish, Other;Other uses
Marine Fish, Other;Domestic supply quantity
Marine Fish, Other;Production
Marine Fish, Other;Import Quantity
Marine Fish, Other;Export Quantity
Crustaceans;Food supply quantity (tonnes)
Crustaceans;Other uses
Crustaceans;Domestic supply quantity
Crustaceans;Production
Crustaceans;Import Quantity
Crustaceans;Export Quantity
Cephalopods;Food supply quantity (tonnes)
Cephalopods;Other uses
Cephalopods;Domestic supply quantity
Cephalopods;Import Quantity
Molluscs, Other;Food supply quantity (tonnes)
Molluscs, Other;Other uses
Molluscs, Other;Domestic supply quantity
Molluscs, Other;Import Quantity
Molluscs, Other;Export Quantity
Aquatic Plants;Food supply quantity (tonnes)
Aquatic Plants;Other uses
Aquatic Plants;Domestic supply quantity
Aquatic Plants;Import Quantity
Fish, Body Oil;Food supply quantity (tonnes)
Fish, Body Oil;Other uses
Fish, Body Oil;Domestic supply quantity
Fish, Body Oil;Import Quantity
Fish, Liver Oil;Food supply quantity (tonnes)
Fish, Liver Oil;Other uses
Fish, Liver Oil;Domestic supply quantity
Fish, Liver Oil;Import Quantity
Rice (Paddy Equivalent);Stock Variation
Rice (Paddy Equivalent);Waste
Rice (Paddy Equivalent);Food supply quantity (tonnes)
Rice (Paddy Equivalent);Other uses
Rice (Paddy Equivalent);Domestic supply quantity
Rice (Paddy Equivalent);Import Quantity
Rice (Paddy Equivalent);Export Quantity
Rice (Milled Equivalent);Stock Variation
Rice (Milled Equivalent);Waste
Rice (Milled Equivalent);Food supply quantity (tonnes)
Rice (Milled Equivalent);Other uses
Rice (Milled Equivalent);Domestic supply quantity
Rice (Milled Equivalent);Import Quantity
Rice (Milled Equivalent);Export Quantity
Roots & Tuber Dry Equiv;Waste
Roots & Tuber Dry Equiv;Food supply quantity (tonnes)
Roots & Tuber Dry Equiv;Other uses
Roots & Tuber Dry Equiv;Domestic supply quantity
Roots & Tuber Dry Equiv;Production
Roots & Tuber Dry Equiv;Seed
Roots & Tuber Dry Equiv;Import Quantity
Roots & Tuber Dry Equiv;Export Quantity
Sugar, Refined Equiv;Stock Variation
Sugar, Refined Equiv;Food supply quantity (tonnes)
Sugar, Refined Equiv;Domestic supply quantity
Sugar, Refined Equiv;Import Quantity
Sugar, Refined Equiv;Export Quantity
Groundnuts (in Shell Eq);Food supply quantity (tonnes)
Groundnuts (in Shell Eq);Domestic supply quantity
Groundnuts (in Shell Eq);Import Quantity
Groundnuts (in Shell Eq);Export Quantity
Sugar, Raw Equivalent;Stock Variation
Sugar, Raw Equivalent;Food supply quantity (tonnes)
Sugar, Raw Equivalent;Other uses
Sugar, Raw Equivalent;Domestic supply quantity
Sugar, Raw Equivalent;Production
Sugar, Raw Equivalent;Import Quantity
Sugar, Raw Equivalent;Export Quantity
Milk - Excluding Butter;Stock Variation
Milk - Excluding Butter;Waste
Milk - Excluding Butter;Food supply quantity (tonnes)
Milk - Excluding Butter;Domestic supply quantity
Milk - Excluding Butter;Production
Milk - Excluding Butter;Import Quantity
Milk - Excluding Butter;Export Quantity
Fish Meal;Other uses
Fish Meal;Domestic supply quantity
Fish Meal;Production
Fish Meal;Feed
Fish Meal;Import Quantity
Fish Meal;Export Quantity
Cereals - Excluding Beer;Stock Variation
Cereals - Excluding Beer;Waste
Cereals - Excluding Beer;Processing
Cereals - Excluding Beer;Food supply quantity (tonnes)
Cereals - Excluding Beer;Other uses
Cereals - Excluding Beer;Domestic supply quantity
Cereals - Excluding Beer;Production
Cereals - Excluding Beer;Feed
Cereals - Excluding Beer;Seed
Cereals - Excluding Beer;Import Quantity
Cereals - Excluding Beer;Export Quantity
Starchy Roots;Waste
Starchy Roots;Food supply quantity (tonnes)
Starchy Roots;Other uses
Starchy Roots;Domestic supply quantity
Starchy Roots;Production
Starchy Roots;Seed
Starchy Roots;Import Quantity
Starchy Roots;Export Quantity
Sugar Crops;Domestic supply quantity
Sugar Crops;Production
Sugar & Sweeteners;Stock Variation
Sugar & Sweeteners;Food supply quantity (tonnes)
Sugar & Sweeteners;Other uses
Sugar & Sweeteners;Domestic supply quantity
Sugar & Sweeteners;Production
Sugar & Sweeteners;Import Quantity
Sugar & Sweeteners;Export Quantity
Pulses;Stock Variation
Pulses;Waste
Pulses;Food supply quantity (tonnes)
Pulses;Domestic supply quantity
Pulses;Production
Pulses;Seed
Pulses;Import Quantity
Pulses;Export Quantity
Treenuts;Food supply quantity (tonnes)
Treenuts;Domestic supply quantity
Treenuts;Import Quantity
Treenuts;Export Quantity
Oilcrops;Stock Variation
Oilcrops;Waste
Oilcrops;Processing
Oilcrops;Food supply quantity (tonnes)
Oilcrops;Other uses
Oilcrops;Domestic supply quantity
Oilcrops;Production
Oilcrops;Feed
Oilcrops;Seed
Oilcrops;Import Quantity
Oilcrops;Export Quantity
Vegetable Oils;Stock Variation
Vegetable Oils;Food supply quantity (tonnes)
Vegetable Oils;Other uses
Vegetable Oils;Domestic supply quantity
Vegetable Oils;Production
Vegetable Oils;Import Quantity
Vegetable Oils;Export Quantity
Vegetables;Stock Variation
Vegetables;Waste
Vegetables;Food supply quantity (tonnes)
Vegetables;Domestic supply quantity
Vegetables;Production
Vegetables;Import Quantity
Vegetables;Export Quantity
Fruits - Excluding Wine;Stock Variation
Fruits - Excluding Wine;Waste
Fruits - Excluding Wine;Food supply quantity (tonnes)
Fruits - Excluding Wine;Domestic supply quantity
Fruits - Excluding Wine;Production
Fruits - Excluding Wine;Import Quantity
Fruits - Excluding Wine;Export Quantity
Stimulants;Stock Variation
Stimulants;Food supply quantity (tonnes)
Stimulants;Domestic supply quantity
Stimulants;Import Quantity
Stimulants;Export Quantity
Spices;Food supply quantity (tonnes)
Spices;Domestic supply quantity
Spices;Import Quantity
Spices;Export Quantity
Alcoholic Beverages;Stock Variation
Alcoholic Beverages;Food supply quantity (tonnes)
Alcoholic Beverages;Other uses
Alcoholic Beverages;Domestic supply quantity
Alcoholic Beverages;Production
Alcoholic Beverages;Import Quantity
Alcoholic Beverages;Export Quantity
Miscellaneous;Food supply quantity (tonnes)
Miscellaneous;Domestic supply quantity
Miscellaneous;Import Quantity
Meat;Stock Variation
Meat;Food supply quantity (tonnes)
Meat;Domestic supply quantity
Meat;Production
Meat;Import Quantity
Meat;Export Quantity
Offals;Food supply quantity (tonnes)
Offals;Domestic supply quantity
Offals;Production
Offals;Import Quantity
Animal fats;Stock Variation
Animal fats;Food supply quantity (tonnes)
Animal fats;Other uses
Animal fats;Domestic supply quantity
Animal fats;Production
Animal fats;Import Quantity
Animal fats;Export Quantity
Milk - Excluding Butter;Stock Variation
Milk - Excluding Butter;Waste
Milk - Excluding Butter;Food supply quantity (tonnes)
Milk - Excluding Butter;Domestic supply quantity
Milk - Excluding Butter;Production
Milk - Excluding Butter;Import Quantity
Milk - Excluding Butter;Export Quantity
Eggs;Waste
Eggs;Food supply quantity (tonnes)
Eggs;Domestic supply quantity
Eggs;Production
Eggs;Seed
Eggs;Import Quantity
Eggs;Export Quantity
Fish, Seafood;Stock Variation
Fish, Seafood;Food supply quantity (tonnes)
Fish, Seafood;Other uses
Fish, Seafood;Domestic supply quantity
Fish, Seafood;Production
Fish, Seafood;Feed
Fish, Seafood;Import Quantity
Fish, Seafood;Export Quantity
Aquatic Products, Other;Food supply quantity (tonnes)
Aquatic Products, Other;Other uses
Aquatic Products, Other;Domestic supply quantity
Aquatic Products, Other;Import Quantity
